Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 108, velocity 106
129:0   Note off                0, note 72, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                4, note 108, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 121, velocity 106
129:0   Note off                0, note 85, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 121, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 116, velocity 106
129:0   Note off                0, note 80, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 116, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 78, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 114, velocity 106
129:0   Note off                0, note 78, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 114, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 74, velocity 88
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 110, velocity 106
129:0   Note off                0, note 74, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note off                4, note 110, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 66, velocity 88
129:0   Note on                 1, note 37, velocity 110
